product_name,category,cost,selling_price
MD Natural Strawe.Jam 485g,Frozen Food,387,430
prevense perfumed body wash men,Cosmatics,355.5,395
Ravai 1kg,Lose Food Items,100,120
savvarisy(sago) 500g,Lose Food Items,89.1,99
sugar packet 1kg,Lose Food Items,93.6,104
dill seed 1kg,Lose Food Items,380,680
Coffee 250g,Tea Products,144,160
Coffee 100g,Tea Products,58.5,65
Ravai 500g,Packeted Food,58.5,65
Dill seed 250g,Packeted Food,88.2,98
brown sugar 1kg,Lose Food Items,118,120
Soya turkey Brand 150g,Packeted Food,40.5,45
Black Gram 250g,Packeted Food,88.2,98
Cummin Seed 100g,Packeted Food,76.5,85
White ulunthu 500g,Packeted Food,207,230
venthayam 100g,Packeted Food,34.2,38
Venthayam 50g,Packeted Food,18,20
white ulunthu 250g,Packeted Food,108,120
Payaru 250g,Packeted Food,58.5,65
Payaru 500g,Packeted Food,117,130
Pasipparuppu 250g,Packeted Food,81,90
Pasipparuppu 500g,Packeted Food,162,180
goree whitening lotlon,Fancy,279,310
goldan pearl body lotion,Fancy,256.5,285
goldan pearl moisturizing lotio,Fancy,432,480
goldan pearl day cream,Fancy,405,450
gold face wash,Fancy,396,440
Pepper 50g,Packeted Food,76.5,105
Mally 250g,Packeted Food,63,70
Cummin Seed 50g,Packeted Food,39.6,44
softlove smart pants,Fancy,198,220
garlic murukku 250g,Food Drink,112.5,125
giggles small,Baby Others,135,150
giggles medium,Baby Others,135,150
giggles large,Baby Others,135,150
apple Fruits,fruits,20.51,35
orange Fruit ,fruits,40,50
mathulai,Food Drink,225,250
multhani,Fancy,135,150
egg,Food Drink,14.4,17
siddalepa 50g,Fancy,207,230
nespray every day 1kg,Food Drink,766.35,810
Kadalai 250g,Packeted Food,45,50
Cowpea 500g,Packeted Food,108,120
Edna bunty Kiddy single 5.00,Edna chocoleats,4.5,5
Faluda Flavour Pudding Mix,Pudding Mix,85.5,95
sweetpopcorn,Sweet Items,4.5,5
alpha mixture 40g,Snack Foods,13.5,15
soja 1kg jan rich,Frozen Food,252,280
alpnas natraj box,Stationery,117,130
lip glose,Cosmatics,40.5,45
SHEESAR,Cosmatics,180,200
BABY CILIP,Cosmatics,81,90
nascafe 3 in one,Milk Products,22.5,25
panta babbulgum,Sweet Items,4.5,5
lolly pop,Sweet Items,13.5,15
am mixture 125g,Snack Foods,45,50
hair siligt,Cosmatics,67.5,75
usa red apple 1kg,fruits,335.7,373
key tak,Cosmatics,67.5,75
leader agarpathies,General,63,70
am one 500g,Food Drink,180,200
my beautiful picture book,Stationery,180,200
candles,Cosmatics,145,6
brown sheet,Stationery,18,20
Anna coffee 100g,Tea Products,90,100
GLUCORASA,Food Drink,4.5,5
cummin seed 1kg,Lose Food Items,783,870
venthayam 1kg,Lose Food Items,315,350
patham parupu,Lose Food Items,27,30
coriander 250g,Frozen Food,63,70
milaku 1kg,Lose Food Items,1530,1700
shoping bag medium,General,80,155
maapiyan Red Rice 10kg,Rice,765,850
nesto chocolate wafers9g,kandos Chocolate,4.5,5
anna curry powder 250g,Packeted Food,117,130
harischandra kurakkan flour400g,Packeted Food,121.5,135
black tamarind 1kg,Lose Food Items,198,220
red tamarind 1kg,Lose Food Items,306,340
Milkmaid 4l Can,Milk Products,1485,1650
AM One Mixture 100g,Packeted Food,45,50
Ruhunu Ros CurryPow 1kg,Packeted Food,360,400
soanpapadi coconut 250g,Packeted Food,256.5,285
soanpapadi orange 250g,Packeted Food,256.5,285
David Maltagram 250g,Packeted Food,105,125
David sweet papcoan,Packeted Food,54,60
David pottu kadalai 250g,Packeted Food,112.5,125
David maltragram 50g,Packeted Food,27,30
David karachew 250g,Packeted Food,105,125
David  mixture 50g,Packeted Food,27,30
soanpopadi Red 250g,Packeted Food,256.5,285
Egg Brown,Lose Food Items,16.2,16
Egg White,Lose Food Items,12,13
Cardamom 1kg,Packeted Items,4400,5000
David Bites 250g,Packeted Food,105,125
David fried Chick Peas 250g,Packeted Food,105,125
David Fried Peanuts 250g,Packeted Food,125,150
David Roasted Chick Peas 250g,Packeted Food,112.5,125
David sweet popcorn,Packeted Food,54,60
David Sweet Nutty peanut,Packeted Food,225,250
David Sweet popcorn Bottle,Packeted Food,225,250
Annaimugan pakoda 120g,Packeted Food,45,50
Strepsils 2pack,Medicie,18,20
oil bola 250g,Packeted Food,112.5,125
Black Pepper 100g,Spices,144,160
Black Pepper 50g,Spices,72,80
Rice Flakes 500g,Groceries,63,70
Rice Flakes 250g,Groceries,31.5,35
Fruit & Nut 90g,kandos Chocolate,162,180
Kist Vinigar 350ml,Kist Other Products,54,60
Philips Joy vision 0.5w,Philips Bulb,202.5,225
Wheat Flour 1Kg,Groceries,77.6,85
Kutti Nadu 1Kg,Rice,67.5,75
Basmathi Normal 1Kg,Rice,153,170
Samba Normal 5Kg,Rice,405,450
Araliya Samba 10kg,Rice,1250,1500
Maxell 444x2,Battry,54,60
Maxell  AAx2,Battry,54,60
Amla Hair Oil 45ml,Hair Oil,67.5,75
Horlicks Sach 28g,Packeted Food,28.3,30
Nerralu Hair Oil Jasmine 100ml,Hair Oil,117,130
Almond Hair oil 50ml,Hair Oil,90,100
Amla Hair Oil 90ml,Hair Oil,126,140
VIVA Sach 28g,Packeted Food,23.58,25
LL Milky cookies 400g,Little Lion,1,1
Ritz Bubbles 5g,CBL Ritzbury,4.5,5
Nataraj Plasto Erasor,Pen,4.5,5
TEN Stapler MX 10,Pen,67.5,75
Gillette 7-O ClockDiamond Razor,Shaving Razor,63,70
Rotomac Ten Plus,Pen,9,10
Rotomac Ten Plus Black,Pen,9,10
Rotomac Ten Plus Red,Pen,9,10
Rotomac Highlighter,Pen,54,60
Rotomac Ten Colour,Pen,9,10
Araliya Samba 1kg,Lose Food Items,85.5,90
Asvika keeri  Samba 1kg,Lose Food Items,103.5,115
Araliya Nadu Samba 1kg,Lose Food Items,88,95
VSS Gingelly Oil 750 ml,Canned Goods,432,480
panadol 500mg 12 Nos,Medicie,286.24,15.6
